DATE ; SOURCE ; PORT ; DESTINATION ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; LENGTH
11:42:06;190-0-175-100.gba.solunet.com.ar;2686;com;S;984972391:984972511;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2687;com;S;1223629343:1223629463;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2688;com;S;2097257378:2097257498;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2689;com;S;71311878:71311998;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2690;com;S;2102444544:2102444664;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2691;com;S;1658802345:1658802465;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2692;com;S;1706050817:1706050937;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2693;com;S;1024880538:1024880658;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2694;com;S;951760893:951761013;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2695;com;S;1125618004:1125618124;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2696;com;S;1871207110:1871207230;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2697;com;S;345771930:345772050;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2698;com;S;140327075:140327195;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2699;com;S;261155005:261155125;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2700;com;S;1791155350:1791155470;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2701;com;S;593526721:593526841;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2702;com;S;1252865659:1252865779;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2703;com;S;1988673484:1988673604;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2704;com;S;1003267489:1003267609;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2705;com;S;1020861834:1020861954;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2706;com;S;1338056601:1338056721;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2707;com;S;808637873:808637993;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2708;com;S;1453290138:1453290258;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2709;com;S;602687992:602688112;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2710;com;S;1467959956:1467960076;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2711;com;S;186790490:186790610;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2712;com;S;2146506416:2146506536;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2713;com;S;2293462:2293582;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2714;com;S;1455305088:1455305208;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2715;com;S;1651277629:1651277749;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2716;com;S;1939151396:1939151516;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2717;com;S;1156415132:1156415252;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2718;com;S;526698180:526698300;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2719;com;S;2147257919:2147258039;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2720;com;S;1794438931:1794439051;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2721;com;S;1570685761:1570685881;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2722;com;S;987317105:987317225;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2723;com;S;1750383782:1750383902;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2724;com;S;589799034:589799154;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2725;com;S;604807401:604807521;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2726;com;S;773543240:773543360;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2727;com;S;819730013:819730133;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2728;com;S;1089139650:1089139770;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2729;com;S;1722099226:1722099346;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2730;com;S;832280098:832280218;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2731;com;S;210837616:210837736;;512;;120
11:42:06;190-0-175-100.gba.solunet.com.ar;2732;com;S;451298501:451298621;;512;;120
